,city,state,population_2018,population_2010,change,area_in_miles,area_in_kms,population_density_in_miles,population_density_in_kms,location,wiki_url,mayor,website
0,New York City,New York,8398748.0,8175133.0,2.74,301.5,780.9,28317.0,10933.0,40°39′49″N 73°56′19″W,https://en.wikipedia.org/wiki/New_York_City,Bill de Blasio,NYC.gov
1,Los Angeles,California,3990456.0,3792621.0,5.22,468.7,1213.9,8484.0,3276.0,34°01′10″N 118°24′39″W,https://en.wikipedia.org/wiki/Los_Angeles,Eric Garcetti,
2,Chicago,Illinois,2705994.0,2695598.0,0.39,227.3,588.7,11900.0,4600.0,41°50′15″N 87°40′54″W,https://en.wikipedia.org/wiki/Chicago,Lori Lightfoot,
3,Houston,Texas,2325502.0,2100263.0,10.72,637.5,1651.1,3613.0,1395.0,29°47′12″N 95°23′27″W,https://en.wikipedia.org/wiki/Houston,Sylvester Turner,houstontx.gov
4,Phoenix,Arizona,1660272.0,1445632.0,14.85,517.6,1340.6,3120.0,1200.0,33°34′20″N 112°05′24″W,"https://en.wikipedia.org/wiki/Phoenix,_Arizona",Kate Gallego,
5,Philadelphia,Pennsylvania,1584138.0,1526006.0,3.81,134.2,347.6,11683.0,4511.0,40°00′34″N 75°08′00″W,https://en.wikipedia.org/wiki/Philadelphia,Jim Kenney,www.phila.gov
6,San Antonio,Texas,1532233.0,1327407.0,15.43,461.0,1194.0,3238.0,1250.0,29°28′21″N 98°31′30″W,https://en.wikipedia.org/wiki/San_Antonio,Ron Nirenberg,www.SanAntonio.gov
7,San Diego,California,1425976.0,1307402.0,9.07,325.2,842.3,4325.0,1670.0,32°48′55″N 117°08′06″W,https://en.wikipedia.org/wiki/San_Diego,Kevin Faulconer,SanDiego.gov
8,Dallas,Texas,1345047.0,1197816.0,12.29,340.9,882.9,3866.0,1493.0,32°47′36″N 96°45′59″W,https://en.wikipedia.org/wiki/Dallas,Mike Rawlings,dallascityhall.com
9,San Jose,California,1030119.0,945942.0,8.9,177.5,459.7,5777.0,2231.0,37°17′48″N 121°49′08″W,"https://en.wikipedia.org/wiki/San_Jose,_California",Sam Liccardo,
10,Austin,Texas,964254.0,790390.0,22.0,312.7,809.9,3031.0,1170.0,30°18′14″N 97°45′16″W,"https://en.wikipedia.org/wiki/Austin,_Texas",Steve Adler,
11,Jacksonville,Florida,903889.0,821784.0,9.99,747.4,1935.8,1178.0,455.0,30°20′13″N 81°39′42″W,"https://en.wikipedia.org/wiki/Jacksonville,_Florida",Lenny Curry,
12,Fort Worth,Texas,895008.0,741206.0,20.75,342.9,888.1,2491.0,962.0,32°46′53″N 97°20′48″W,"https://en.wikipedia.org/wiki/Fort_Worth,_Texas",Betsy Price,fortworthtexas.gov
13,Columbus,Ohio,892533.0,787033.0,13.4,218.5,565.9,3936.0,1520.0,39°59′07″N 82°59′05″W,"https://en.wikipedia.org/wiki/Columbus,_Ohio",Andrew J. Ginther,
14,San Francisco,California,883305.0,805235.0,9.7,46.9,121.5,18569.0,7170.0,37°43′38″N 123°01′56″W,https://en.wikipedia.org/wiki/San_Francisco,London Breed,
15,Charlotte,North Carolina,872498.0,731424.0,19.29,305.4,791.0,2757.0,1064.0,35°12′28″N 80°49′52″W,"https://en.wikipedia.org/wiki/Charlotte,_North_Carolina",Vi Lyles,
16,Indianapolis,Indiana,867125.0,820445.0,5.69,361.5,936.3,2366.0,914.0,39°46′36″N 86°08′45″W,https://en.wikipedia.org/wiki/Indianapolis,Joe Hogsett,
17,Seattle,Washington,744955.0,608660.0,22.39,83.8,217.0,8405.0,3245.0,47°37′14″N 122°21′03″W,https://en.wikipedia.org/wiki/Seattle,Jenny Durkan,Seattle.gov
18,Denver,Colorado,716492.0,600158.0,19.38,153.3,397.0,4521.0,1746.0,39°45′43″N 104°52′52″W,https://en.wikipedia.org/wiki/Denver,Michael Hancock,denvergov.org
19,"Washington, D.C.",District of Columbia,702455.0,601723.0,16.74,61.1,158.2,11148.0,4304.0,38°54′15″N 77°01′02″W,"https://en.wikipedia.org/wiki/Washington,_D.C.",Muriel Bowser,dc.gov
20,Boston,Massachusetts,694583.0,617594.0,12.47,48.3,125.1,13938.0,5381.0,42°19′55″N 71°01′13″W,https://en.wikipedia.org/wiki/Boston,Marty Walsh,Boston.gov
21,El Paso,Texas,682669.0,649121.0,5.17,256.8,665.1,2660.0,1030.0,31°50′54″N 106°25′37″W,"https://en.wikipedia.org/wiki/El_Paso,_Texas",City Council,
22,Detroit,Michigan,672662.0,713777.0,5.76,138.8,359.5,4847.0,1871.0,42°22′59″N 83°06′08″W,https://en.wikipedia.org/wiki/Detroit,Mike Duggan,
23,Nashville,Tennessee,669053.0,601222.0,11.28,475.9,1232.6,1388.0,536.0,36°10′18″N 86°47′06″W,"https://en.wikipedia.org/wiki/Nashville,_Tennessee",,
24,Portland,Oregon,653115.0,583776.0,11.88,133.5,345.8,4793.0,1851.0,45°32′13″N 122°39′00″W,"https://en.wikipedia.org/wiki/Portland,_Oregon",,PortlandOregon.gov
25,Memphis,Tennessee,650618.0,646889.0,0.58,317.4,822.1,2056.0,794.0,35°06′10″N 89°58′39″W,"https://en.wikipedia.org/wiki/Memphis,_Tennessee",Jim Strickland,
26,Oklahoma City,Oklahoma,649021.0,579999.0,11.9,606.3,1570.3,1053.0,407.0,35°28′02″N 97°30′49″W,https://en.wikipedia.org/wiki/Oklahoma_City,David Holt,
27,Las Vegas,Nevada,644644.0,583756.0,10.43,134.4,348.1,4709.0,1818.0,36°13′45″N 115°15′36″W,https://en.wikipedia.org/wiki/Las_Vegas,Carolyn Goodman,
28,Louisville,Kentucky,620118.0,597337.0,3.81,263.5,682.5,2339.0,903.0,38°09′55″N 85°38′51″W,"https://en.wikipedia.org/wiki/Louisville,_Kentucky",Greg Fischer,LouisvilleKy.gov
29,Baltimore,Maryland,602495.0,620961.0,2.97,80.9,209.5,7598.0,2934.0,39°18′00″N 76°36′38″W,https://en.wikipedia.org/wiki/Baltimore,Jack Young,
30,Milwaukee,Wisconsin,592025.0,594833.0,0.47,96.2,249.2,6186.0,2388.0,43°03′48″N 87°58′00″W,https://en.wikipedia.org/wiki/Milwaukee,Tom Barrett,
31,Albuquerque,New Mexico,560218.0,545852.0,2.63,188.2,487.4,2972.0,1147.0,35°06′20″N 106°38′51″W,"https://en.wikipedia.org/wiki/Albuquerque,_New_Mexico",Tim Keller,
32,Tucson,Arizona,545975.0,520116.0,4.97,230.8,597.8,2299.0,888.0,32°09′11″N 110°52′14″W,"https://en.wikipedia.org/wiki/Tucson,_Arizona",,
33,Fresno,California,530093.0,494665.0,7.16,114.4,296.3,4563.0,1762.0,36°47′01″N 119°47′36″W,"https://en.wikipedia.org/wiki/Fresno,_California",Lee Brand,
34,Mesa,Arizona,508958.0,439041.0,15.92,137.9,357.2,3514.0,1357.0,33°24′07″N 111°43′03″W,"https://en.wikipedia.org/wiki/Mesa,_Arizona",John Giles,
35,Sacramento,California,508529.0,466488.0,9.01,97.9,253.6,5059.0,1953.0,38°34′00″N 121°28′07″W,"https://en.wikipedia.org/wiki/Sacramento,_California",Darrell Steinberg,
36,Atlanta,Georgia,498044.0,420003.0,18.58,133.5,345.8,3539.0,1366.0,33°45′46″N 84°25′22″W,https://en.wikipedia.org/wiki/Atlanta,Keisha Lance Bottoms,
37,Kansas City,Missouri,491918.0,459787.0,6.99,315.0,815.8,1528.0,590.0,39°07′30″N 94°33′04″W,"https://en.wikipedia.org/wiki/Kansas_City,_Missouri",Sly James,KCMO.gov
38,Colorado Springs,Colorado,472688.0,416427.0,13.51,195.6,506.6,2378.0,918.0,38°52′02″N 104°45′39″W,"https://en.wikipedia.org/wiki/Colorado_Springs,_Colorado",,
39,Miami,Florida,470914.0,399457.0,17.89,36.0,93.2,12599.0,4865.0,25°46′31″N 80°12′31″W,https://en.wikipedia.org/wiki/Miami,Francis X. Suarez,
40,Raleigh,North Carolina,469298.0,403892.0,16.19,145.1,375.8,3163.0,1221.0,35°49′50″N 78°38′30″W,"https://en.wikipedia.org/wiki/Raleigh,_North_Carolina",Nancy McFarlane,
41,Omaha,Nebraska,468262.0,408958.0,14.5,133.2,345.0,3356.0,1296.0,41°15′52″N 96°02′42″W,"https://en.wikipedia.org/wiki/Omaha,_Nebraska",Jean Stothert,
42,Long Beach,California,467354.0,462257.0,1.1,50.3,130.3,9347.0,3609.0,33°48′33″N 118°09′19″W,"https://en.wikipedia.org/wiki/Long_Beach,_California",Robert Garcia,
43,Virginia Beach,Virginia,450189.0,437994.0,2.78,244.7,633.8,1850.0,710.0,36°46′48″N 76°01′31″W,"https://en.wikipedia.org/wiki/Virginia_Beach,_Virginia",Bobby Dyer,www.vbgov.com
44,Oakland,California,429082.0,390724.0,9.82,55.9,144.8,7514.0,2901.0,37°46′11″N 122°13′33″W,"https://en.wikipedia.org/wiki/Oakland,_California",Libby Schaaf,
45,Minneapolis,Minnesota,425403.0,382578.0,11.19,54.0,139.9,7660.0,2960.0,44°57′48″N 93°16′06″W,https://en.wikipedia.org/wiki/Minneapolis,Jacob Frey,
46,Tulsa,Oklahoma,400669.0,391906.0,2.24,196.8,509.7,2048.0,791.0,36°07′40″N 95°54′08″W,"https://en.wikipedia.org/wiki/Tulsa,_Oklahoma",,cityoftulsa.org
47,Arlington,Texas,398112.0,365438.0,8.94,95.8,248.1,4100.0,1600.0,32°42′03″N 97°07′29″W,"https://en.wikipedia.org/wiki/Arlington,_Texas",Jeff Williams,
48,Tampa,Florida,392890.0,335709.0,17.03,113.4,293.7,3326.0,1284.0,27°58′12″N 82°28′47″W,"https://en.wikipedia.org/wiki/Tampa,_Florida",Jane Castor,
49,New Orleans,Louisiana,391006.0,343829.0,13.72,169.4,438.7,2311.0,892.0,30°03′12″N 89°56′04″W,https://en.wikipedia.org/wiki/New_Orleans,LaToya Cantrell,nola.gov
50,Wichita,Kansas,389255.0,382368.0,1.8,160.4,415.4,2431.0,939.0,37°41′27″N 97°20′45″W,"https://en.wikipedia.org/wiki/Wichita,_Kansas",Jeff Longwell,wichita.gov
51,Cleveland,Ohio,383793.0,396815.0,3.28,77.7,201.2,4965.0,1917.0,41°28′43″N 81°40′46″W,https://en.wikipedia.org/wiki/Cleveland,Frank G. Jackson,
52,Bakersfield,California,383579.0,347483.0,10.39,148.8,385.4,2529.0,976.0,35°19′16″N 119°01′06″W,"https://en.wikipedia.org/wiki/Bakersfield,_California",Karen K. Goh,
53,Aurora,Colorado,374114.0,325078.0,15.08,153.5,397.6,2356.0,910.0,39°41′17″N 104°41′23″W,"https://en.wikipedia.org/wiki/Aurora,_Colorado",Bob LeGare,
54,Anaheim,California,352005.0,336265.0,4.68,50.0,129.5,7021.0,2711.0,33°51′20″N 117°45′36″W,"https://en.wikipedia.org/wiki/Anaheim,_California",Harry Sidhu,
55,Honolulu,Hawaii,347397.0,337256.0,3.01,60.5,156.7,5815.0,2245.0,21°19′27″N 157°50′51″W,https://en.wikipedia.org/wiki/Honolulu,Kirk Caldwell,
56,Santa Ana,California,332725.0,324528.0,2.53,27.1,70.2,12333.0,4762.0,33°44′11″N 117°52′59″W,"https://en.wikipedia.org/wiki/Santa_Ana,_California",Miguel A. Pulido,ana.org
57,Riverside,California,330063.0,303871.0,8.62,81.2,210.3,3999.0,1544.0,33°56′17″N 117°23′36″W,"https://en.wikipedia.org/wiki/Riverside,_California",City council,
58,Corpus Christi,Texas,326554.0,305215.0,6.99,174.6,452.2,1866.0,720.0,27°45′15″N 97°10′24″W,"https://en.wikipedia.org/wiki/Corpus_Christi,_Texas",City council,
59,Lexington,Kentucky,323780.0,295803.0,9.46,283.6,734.5,1123.0,434.0,38°02′27″N 84°27′30″W,"https://en.wikipedia.org/wiki/Lexington,_Kentucky",,
60,Stockton,California,311178.0,291707.0,6.67,61.7,159.8,4977.0,1922.0,37°58′35″N 121°18′48″W,"https://en.wikipedia.org/wiki/Stockton,_California",Michael Tubbs,
61,Henderson,Nevada,310390.0,257729.0,20.43,104.7,271.2,2798.0,1080.0,36°00′35″N 115°02′09″W,"https://en.wikipedia.org/wiki/Henderson,_Nevada",Debra March,
62,Saint Paul,Minnesota,307695.0,285068.0,7.94,52.0,134.7,5815.0,2245.0,44°56′56″N 93°06′15″W,"https://en.wikipedia.org/wiki/Saint_Paul,_Minnesota",Melvin Carter,www.stpaul.gov
63,St. Louis,Missouri,302838.0,319294.0,5.15,62.0,160.6,5023.0,1939.0,38°38′09″N 90°14′41″W,https://en.wikipedia.org/wiki/St._Louis,Lyda Krewson,
64,Cincinnati,Ohio,302605.0,296943.0,1.91,77.4,200.5,3860.0,1490.0,39°08′25″N 84°30′21″W,https://en.wikipedia.org/wiki/Cincinnati,John Cranley,
65,Pittsburgh,Pennsylvania,301048.0,305704.0,1.52,55.4,143.5,5481.0,2116.0,40°26′23″N 79°58′36″W,https://en.wikipedia.org/wiki/Pittsburgh,Bill Peduto,PittsburghPA.gov
66,Greensboro,North Carolina,294722.0,269666.0,9.29,128.3,332.3,2237.0,864.0,36°05′42″N 79°49′37″W,"https://en.wikipedia.org/wiki/Greensboro,_North_Carolina",Nancy B. Vaughan,
67,Anchorage,Alaska,291538.0,291826.0,0.1,1706.6,4420.1,175.0,68.0,61°10′27″N 149°17′03″W,"https://en.wikipedia.org/wiki/Anchorage,_Alaska",Ethan Berkowitz,
68,Plano,Texas,288061.0,259841.0,10.86,71.7,185.7,3990.0,1540.0,33°03′03″N 96°44′52″W,"https://en.wikipedia.org/wiki/Plano,_Texas",Harry LaRosiliere,
69,Lincoln,Nebraska,287401.0,258379.0,11.23,92.1,238.5,3044.0,1175.0,40°48′38″N 96°40′49″W,"https://en.wikipedia.org/wiki/Lincoln,_Nebraska",Leirion Gaylor Baird,lincoln.ne.gov
70,Orlando,Florida,285713.0,238300.0,19.9,105.2,272.5,2635.0,1017.0,28°25′00″N 81°16′25″W,"https://en.wikipedia.org/wiki/Orlando,_Florida",Buddy Dyer,www.cityoforlando.net
71,Irvine,California,282572.0,212375.0,33.05,65.6,169.9,4057.0,1566.0,33°40′42″N 117°46′17″W,"https://en.wikipedia.org/wiki/Irvine,_California",,
72,Newark,New Jersey,282090.0,277140.0,1.79,24.1,62.4,11691.0,4514.0,40°43′27″N 74°10′21″W,"https://en.wikipedia.org/wiki/Newark,_New_Jersey",Ras Baraka,
73,Toledo,Ohio,274975.0,287208.0,4.26,80.7,209.0,3451.0,1332.0,41°39′51″N 83°34′55″W,"https://en.wikipedia.org/wiki/Toledo,_Ohio",Wade Kapszukiewicz,
74,Durham,North Carolina,274291.0,228330.0,20.13,109.8,284.4,2395.0,925.0,35°58′52″N 78°54′10″W,"https://en.wikipedia.org/wiki/Durham,_North_Carolina",Steve Schewel,
75,Chula Vista,California,271651.0,243916.0,11.37,49.6,128.5,5387.0,2080.0,32°37′40″N 117°00′55″W,"https://en.wikipedia.org/wiki/Chula_Vista,_California",City Council,
76,Fort Wayne,Indiana,267633.0,253691.0,5.5,110.6,286.5,2391.0,923.0,41°05′18″N 85°08′38″W,"https://en.wikipedia.org/wiki/Fort_Wayne,_Indiana",,
77,Jersey City,New Jersey,265549.0,247597.0,7.25,14.8,38.3,17848.0,6891.0,40°42′41″N 74°03′53″W,"https://en.wikipedia.org/wiki/Jersey_City,_New_Jersey",Steven Fulop,
78,St. Petersburg,Florida,265098.0,244769.0,8.31,61.8,160.1,4223.0,1631.0,27°45′43″N 82°38′39″W,"https://en.wikipedia.org/wiki/St._Petersburg,_Florida",,
79,Laredo,Texas,261639.0,236091.0,10.82,101.1,261.8,2544.0,982.0,27°33′37″N 99°29′21″W,"https://en.wikipedia.org/wiki/Laredo,_Texas",Pete Saenz,laredotexas.gov
80,Madison,Wisconsin,258054.0,233209.0,10.65,77.0,199.4,3280.0,1270.0,43°05′16″N 89°25′48″W,"https://en.wikipedia.org/wiki/Madison,_Wisconsin",Satya Rhodes-Conway,
81,Chandler,Arizona,257165.0,236123.0,8.91,64.9,168.1,3813.0,1472.0,33°16′58″N 111°51′18″W,"https://en.wikipedia.org/wiki/Chandler,_Arizona",Kevin Hartke,
82,Buffalo,New York,256304.0,261310.0,1.92,40.4,104.6,6359.0,2455.0,42°53′33″N 78°51′35″W,"https://en.wikipedia.org/wiki/Buffalo,_New_York",Byron Brown,www.city-buffalo.com
83,Lubbock,Texas,255885.0,229573.0,11.46,124.6,322.7,2027.0,783.0,33°33′56″N 101°53′12″W,"https://en.wikipedia.org/wiki/Lubbock,_Texas",,
84,Scottsdale,Arizona,255310.0,217385.0,17.45,183.9,476.3,1341.0,518.0,33°41′03″N 111°51′40″W,"https://en.wikipedia.org/wiki/Scottsdale,_Arizona",Jim Lane,
85,Reno,Nevada,250998.0,225221.0,11.45,107.3,277.9,2286.0,883.0,39°32′57″N 119°51′00″W,"https://en.wikipedia.org/wiki/Reno,_Nevada",,
86,Glendale,Arizona,250702.0,226721.0,10.58,59.1,153.1,4161.0,1607.0,33°31′59″N 112°11′24″W,"https://en.wikipedia.org/wiki/Glendale,_Arizona",Jerry Weiers (Non-Partisan),
87,Gilbert,Arizona,248279.0,208453.0,19.11,68.0,176.1,3487.0,1346.0,33°18′37″N 111°44′35″W,"https://en.wikipedia.org/wiki/Gilbert,_Arizona",Jenn Daniels,
88,Winston–Salem,North Carolina,246328.0,229617.0,7.28,132.5,343.2,1828.0,706.0,36°06′10″N 80°15′40″W,"https://en.wikipedia.org/wiki/Winston%E2%80%93Salem,_North_Carolina",,
89,North Las Vegas,Nevada,245949.0,216961.0,13.36,98.0,253.8,2436.0,941.0,36°17′09″N 115°05′38″W,"https://en.wikipedia.org/wiki/North_Las_Vegas,_Nevada",John Lee,
90,Norfolk,Virginia,244076.0,242803.0,0.52,53.3,138.0,4599.0,1776.0,36°55′23″N 76°14′41″W,"https://en.wikipedia.org/wiki/Norfolk,_Virginia",Kenny Alexander,
91,Chesapeake,Virginia,242634.0,222209.0,9.19,338.5,876.7,703.0,271.0,36°40′46″N 76°18′06″W,"https://en.wikipedia.org/wiki/Chesapeake,_Virginia","Dr. Richard W. ""Rick"" West",www.cityofchesapeake.net
92,Garland,Texas,242507.0,226876.0,6.89,57.0,147.6,4122.0,1592.0,32°54′35″N 96°37′49″W,"https://en.wikipedia.org/wiki/Garland,_Texas",City Council,garlandtx.gov
93,Irving,Texas,242242.0,216290.0,12.0,67.0,173.5,3557.0,1373.0,32°51′28″N 96°58′12″W,"https://en.wikipedia.org/wiki/Irving,_Texas",City Council,cityofirving.org
94,Hialeah,Florida,238942.0,224669.0,6.35,21.5,55.7,10995.0,4245.0,25°52′12″N 80°18′10″W,"https://en.wikipedia.org/wiki/Hialeah,_Florida",Carlos Hernández,
95,Fremont,California,237807.0,214089.0,11.08,77.5,200.7,3008.0,1161.0,37°29′40″N 121°56′28″W,"https://en.wikipedia.org/wiki/Fremont,_California",City council,
96,Boise,Idaho,228790.0,205671.0,11.24,82.1,212.6,2718.0,1049.0,43°36′01″N 116°13′54″W,"https://en.wikipedia.org/wiki/Boise,_Idaho",Dave Bieter,
97,Richmond,Virginia,228783.0,204214.0,12.03,59.8,154.9,3732.0,1441.0,37°31′53″N 77°28′34″W,"https://en.wikipedia.org/wiki/Richmond,_Virginia",,www.ci.richmond.va.us
98,Baton Rouge,Louisiana,221599.0,229493.0,3.44,85.9,222.5,2651.0,1024.0,30°26′32″N 91°07′51″W,"https://en.wikipedia.org/wiki/Baton_Rouge,_Louisiana",-President,
99,Spokane,Washington,219190.0,208916.0,4.92,68.7,177.9,3144.0,1214.0,47°40′01″N 117°26′00″W,"https://en.wikipedia.org/wiki/Spokane,_Washington",,www.spokanecity.org
100,Des Moines,Iowa,216853.0,203433.0,6.6,88.9,230.2,2424.0,936.0,41°34′21″N 93°36′37″W,"https://en.wikipedia.org/wiki/Des_Moines,_Iowa",,www.dmgov.org
101,Tacoma,Washington,216279.0,198397.0,9.01,49.7,128.7,4251.0,1641.0,47°15′08″N 122°27′35″W,"https://en.wikipedia.org/wiki/Tacoma,_Washington",Victoria Woodards,www.cityoftacoma.org
102,San Bernardino,California,215941.0,209924.0,2.87,61.5,159.3,3516.0,1358.0,34°08′30″N 117°17′37″W,"https://en.wikipedia.org/wiki/San_Bernardino,_California",John Valdivia,
103,Modesto,California,215030.0,201165.0,6.89,43.0,111.4,4934.0,1905.0,37°38′15″N 121°00′11″W,"https://en.wikipedia.org/wiki/Modesto,_California",Ted Brandvold,
